# Samples: 816
#
# Overhead      Command        Shared Object  Symbol
# ........  ...........  ...................  ......
#
    26.96%          bm1  ./benchmarks/bm1     [.] CuckooHashing<unsigned long long>::putSpecific(unsigned long long, unsigned long long, unsigned long long**, unsigned long long**)
    20.96%          bm1  ./benchmarks/bm1     [.] CuckooHashing<unsigned long long>::rehash(bool)
     5.76%          bm1  [kernel]             [k] clear_page_c
     5.76%          bm1  /lib/libc-2.11.3.so  [.] malloc_consolidate
     4.04%          bm1  ./benchmarks/bm1     [.] TabulationHash::hash(unsigned long long)
     3.92%          bm1  ./benchmarks/bm1     [.] QuadraticProbing<unsigned long long>::get(unsigned long long, unsigned long long&)
     3.68%          bm1  ./benchmarks/bm1     [.] testHMB(HashMapBase<unsigned long long>*)
     3.43%          bm1  ./benchmarks/bm1     [.] CuckooHashing<unsigned long long>::get(unsigned long long, unsigned long long&)
     2.94%          bm1  ./benchmarks/bm1     [.] LinearHash<unsigned long long>::get(unsigned long long, unsigned long long&)
     2.70%          bm1  ./benchmarks/bm1     [.] QuadraticProbing<unsigned long long>::put(unsigned long long, unsigned long long)
     2.21%          bm1  ./benchmarks/bm1     [.] LinearHash<unsigned long long>::put(unsigned long long, unsigned long long)
     2.08%          bm1  ./benchmarks/bm1     [.] __gnu_cxx::hashtable<std::pair<int const, long long>, int, __gnu_cxx::hash<int>, std::_Select1st<std::pair<int const, long long> >, std::equal_to<int>, std::allocator<long long> >::find_or_insert(std::pair<int const, long long> const&)
     1.72%          bm1  [kernel]             [k] _spin_lock
     1.59%          bm1  ./benchmarks/bm1     [.] std::tr1::_Hashtable<unsigned long long, std::pair<unsigned long long const, unsigned long long>, std::allocator<std::pair<unsigned long long const, unsigned long long> >, std::_Select1st<std::pair<unsigned long long const, unsigned long long> >, std::equal_to<unsigned long long>, std::tr1::hash<unsigned long long>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::tr1::__detail::_Hash_node<std::pair<unsigned long long const, unsigned long long>, false>*, unsigned long long const&, unsigned long) const
     1.35%          bm1  ./benchmarks/bm1     [.] MultiplicationHash::hash(unsigned long long)
     1.10%          bm1  ./benchmarks/bm1     [.] std::equal_to<int>::operator()(int const&, int const&) const
     0.86%          bm1  [kernel]             [k] get_page_from_freelist
     0.86%          bm1  ./benchmarks/bm1     [.] __gnu_cxx::hash<int>::operator()(int) const
